loss,mae,mape,rmse,val_loss,val_mae,val_mape,val_rmse
0.005358939059078693,0.0535125806927681,1691540.375,0.07320477813482285,0.0035407566465437412,0.044198185205459595,1095913.125,0.05950425565242767
0.0034461745526641607,0.044386330991983414,1211845.0,0.05870412662625313,0.002933196257799864,0.042230404913425446,1377881.5,0.05415898934006691
0.003179169725626707,0.04292267933487892,1171386.125,0.05638412758708,0.0031472898554056883,0.04235629737377167,1344635.5,0.05610071122646332
0.003051626030355692,0.042045243084430695,1122941.625,0.055241525173187256,0.0030288593843579292,0.042291972786188126,1401608.5,0.055035073310136795
0.002984457416459918,0.04169829934835434,1132723.25,0.05463018640875816,0.0030195300932973623,0.04305940493941307,1550871.75,0.054950252175331116
0.0029451907612383366,0.041482407599687576,1101247.75,0.054269611835479736,0.002839358989149332,0.041711945086717606,1490108.5,0.0532856360077858
0.0029191249050199986,0.04121214151382446,1085739.375,0.05402892827987671,0.002732624299824238,0.04064213111996651,1322002.625,0.05227451026439667
0.002878526458516717,0.041097886860370636,1078400.25,0.053651899099349976,0.002825655974447727,0.040855973958969116,1330663.375,0.05315690115094185
0.002895368728786707,0.041174761950969696,1070835.0,0.053808629512786865,0.0030308591667562723,0.04169618338346481,1234606.75,0.055053237825632095
0.0028458391316235065,0.04093718156218529,1081662.875,0.053346406668424606,0.0027381284162402153,0.04046257212758064,1130997.0,0.05232712998986244
0.0028547768015414476,0.04080849885940552,1073006.625,0.05343011021614075,0.0029971643816679716,0.041655268520116806,1298073.125,0.054746363312006
0.002804477931931615,0.040560584515333176,1075137.75,0.05295732244849205,0.002679447876289487,0.03978773206472397,1102287.25,0.0517633818089962
0.002759042428806424,0.040310800075531006,1055649.875,0.05252658948302269,0.002842581830918789,0.040695831179618835,1254534.75,0.053315866738557816
0.0027556109707802534,0.04024825990200043,1053048.375,0.05249391496181488,0.002744182711467147,0.04015343263745308,1142793.375,0.05238494649529457
0.002731722081080079,0.0402153842151165,1050314.875,0.05226587876677513,0.0028335528913885355,0.04151337221264839,1486085.125,0.0532311275601387
0.002712796675041318,0.03997602313756943,1046041.0,0.05208451300859451,0.0031098483595997095,0.043085064738988876,1467427.625,0.05576601251959801
0.002720345975831151,0.040127065032720566,1061601.625,0.05215693637728691,0.0028033785056322813,0.040681540966033936,1185053.875,0.05294694006443024
